"id_sonde","lib_sonde","reseau_perenne","lat_wgs84","lon_wgs84","x_lamb93","y_lamb93"
103,"Courtone  ",1,"49,12436","0,33661","505618,35","6894896,11"
104,"Monne  ",1,"48,94737","0,12035","489124,15","6875779,48"
105,"Vie  ",1,"48,90467","0,2124","495694,5","6870792,21"
108,"Taute",1,"49,22102","-1,2721","388884,58","6910787,09"
109,"Barge  ",1,"48,78573","0,14458","490247,91","6857753,06"
762,"Souleuvre  ",1,"48,9472","-0,88895","415264,51","6878928,09"
763,"See Rousse  ",1,"48,70381","-0,89254","413668,32","6851910,89"
764,"Egrenne  ",1,"48,69025","-0,74364","424541,44","6849875,38"
765,"Durance  ",1,"48,76697","-0,71439","427093,18","6858294,22"
766,"See  av",1,"48,71074","-1,24009","388167,78","6853996,75"
768,"Berence  ",1,"48,90374","-1,35089","381209,12","6875867,16"
769,"Glanon  ",1,"48,73107","-1,10355","398317,66","6855723,49"
771,"Ving Bec  ",1,"48,99503","-0,51358","442965,3","6882953,55"
811,"Fonaine au Heron  ",1,"48,77697","-0,3104","456803,62","6858084,74"
812,"Odon T1",0,"49,00604","-0,72847","427314,24","6884897,48"
813,"Odon T2",0,"49,02515","-0,63738","434069,3","6886709,75"
814,"Odon T3",0,"49,08627","-0,59997","437112,25","6893374,84"
815,"Odon T4",0,"49,1299","-0,49936","444669,4","6897892,38"
816,"Odon T5",0,"49,16432","-0,40768","451519,78","6901424,63"
817,"Orne T1",0,"48,90405","-0,45678","446675,03","6872662,46"
818,"Orne T3",0,"49,06559","-0,44836","448075,96","6890582,92"
819,"Orne T2",0,"48,954","-0,49872","443849,55","6878346,93"
820,"Selune T4",0,"48,59732","-1,27502","384919,05","6841544,22"
821,"Selune T2",0,"48,58291","-1,23391","387860,2","6839781,32"
822,"Selune T3",0,"48,60528","-1,2611","385991,72","6842372,39"
823,"Selune T5",0,"48,60056","-1,2899","383842,99","6841963,36"
824,"Selune T1",0,"48,57498","-1,1172","396410,64","6838445,94"
825,"Touques T1",0,"48,78053","0,29682","501406,8","6856781,6"
826,"Touques T2",0,"48,85992","0,27799","500328,22","6865651,36"
827,"Touques T3",1,"48,94711","0,26798","499929,62","6875366,42"
828,"Touques T4",0,"49,05705","0,25253","499223,97","6887624,71"
829,"Touques T5",0,"49,18264","0,21028","496631,15","6901692,69"
830,"Touques T6",0,"49,30378","0,14921","492667,49","6915318,1"
,"Grande Vallée  ",1,"49,63887","-1,83262","350956,21","6959542,62"
